Branch,Zone,Service_Dealer_Type,Main_Outlet_code,Region_description,Name_1,City,Company_Code,Company_Name,Description
,,nan,,,,,,,
,,nan,,,,,,,
,,III,S322,SOUTH 2,,SOUTH ANDAMAN,LEAP,LEGACY AUTOMOBILES PVT LT,ANDAMAN & NICOBAR ISLANDS
,,nan,EX200075,EXPORT,,EXPORT,EXPORT,EXPORT - SOUTH AFRICA,SOUTH AFRICA
,,nan,EX200080,EXPORT,,EXPORT,EXPORT,EXPORT - BHUTAN,BHUTAN
,,III,EN15,EAST 2,,DIMAPUR,<PERSON>,GMDS MOTORS PVT LTD,NAGALAND
,,III,EN11,EAST 1,,GANGTOK,SAPL,SILIGURI AUTO WORKS PVT L,SIKKIM
,,nan,S320,SOUTH 2,,VISAKHAPATNAM,NMPL,NEON MOTORS PRIVATE LIMIT,ANDHRA PRADESH
,,nan,S321,SOUTH 2,,VISAKHAPATNAM,ACPL,APPLE CARS PRIVATE LIMITED,ANDHRA PRADESH
,,III,S316,SOUTH 2,,TIRUPATI,KAML,KESHVIN AUTOMOTORS PVT LT,ANDHRA PRADESH
,,III,SN32,SOUTH 2,,NELLORE,KAML,KESHVIN AUTOMOTORS PVT LT,ANDHRA PRADESH
,,III,SN37,SOUTH 2,,KURNOOL,KAML,KESHVIN AUTOMOTORS PVT LT,ANDHRA PRADESH
,,III,SN38,SOUTH 2,,ANANTAPUR,KAML,KESHVIN AUTOMOTORS PVT LT,ANDHRA PRADESH
,,II,SN39,SOUTH 2,,KADAPA,KAML,KESHVIN AUTOMOTORS PVT LT,ANDHRA PRADESH
,,II,S303,SOUTH 2,,VIJAYAWADA,SRIJ,JAYALAKSHMI AUTO,ANDHRA PRADESH
,,II,SN13,SOUTH 2,,RAJAHMUNDRY,SRIJ,JAYALAKSHMI AUTO,ANDHRA PRADESH
,,III,SN15,SOUTH 2,,GUNTUR,SRIJ,JAYALAKSHMI AUTO,ANDHRA PRADESH
,,III,SN32,SOUTH 2,,NELLORE,SRIJ,JAYALAKSHMI AUTO,ANDHRA PRADESH
,,III,S303,SOUTH 2,,TIRUPATI,SRIJ,JAYALAKSHMI AUTO,ANDHRA PRADESH
,,II,SW15,SOUTH 2,,VIJAYAWADA,SRIJ,JAYALAKSHMI AUTO,ANDHRA PRADESH
,,III,SU10,SOUTH 2,,ONGOLE,SRIJ,JAYALAKSHMI AUTO,ANDHRA PRADESH
,,nan,SS01,SOUTH 2,,VIZAG,TRIS,TRISTAR AUTO AGENCIES,ANDHRA PRADESH
,,III,SW01,SOUTH 2,,VIZAG,TRIS,TRISTAR AUTO AGENCIES,ANDHRA PRADESH
,,III,E307,EAST 2,,NAHARLAGUN,NIGL,NIGLA,ARUNACHAL PRADESH
,,III,E307,EAST 2,,PASIGHAT,NIGL,NIGLA,ARUNACHAL PRADESH
,,II,E301,EAST 2,,GUWAHATI,URBA,URBAN WORLD MOTOR PVT LTD,ASSAM
,,nan,EN16,EAST 2,,SILCHAR,<PERSON>,GMDS MOTORS PVT LTD,ASSAM
,,III,EN17,EAST 2,,SILCHAR,<PERSON>,GMDS MOTORS PVT LTD,ASSAM
,,III,E310,EAST 2,,NAGAON,<PERSON>,GMDS MOTORS PVT LTD,ASSAM
,,III,E310,EAST 2,,TEZPUR,<PERSON>,GMDS MOTORS PVT LTD,ASSAM
,,III,EN12,EAST 2,,DIBRUGARH,KARI,KARINI VENTURES PVT LTD,ASSAM
,,nan,ES04,EAST 2,,GUWAHATI,KARI,KARINI VENTURES PVT LTD,ASSAM
,,II,<PERSON>,EAST 2,,GUWAHATI,KARI,KARINI VENTURES PVT LTD,ASSAM
,,III,EN14,EAST 2,,<PERSON>,ASHI,ASHIANA FABICON PVT LTD,BIHAR
,,nan,ES03,EAST 2,,PATNA,ASHI,ASHIANA FABICON PVT LTD,BIHAR
,,II,EW03,EAST 2,,PATNA,ASHI,ASHIANA FABICON PVT LTD,BIHAR
,,II,EW05,EAST 2,,PATNA,ASHI,ASHIANA FABICON PVT LTD,BIHAR
,,nan,ES03,EAST 1,,PATNA,ASHI,ASHIANA FABICON PVT LTD,BIHAR
,,nan,ES09,EAST 2,,PATNA,IAPP,IMPERIAL AUTO PLANET PVT,BIHAR
,,III,ES09,EAST 2,,SIWAN,IAPP,IMPERIAL AUTO PLANET PVT,BIHAR
,,II,ES09,EAST 2,,PATNA,IAPP,IMPERIAL AUTO PLANET PVT,BIHAR
,,III,E309,EAST 2,,PURNIA,<PERSON>,MAHAKALI VENTURE LLP,BIHAR
,,III,E309,EAST 2,,BHAGALPUR,<PERSON>,MAHAKALI VENTURE LLP,BIHAR
,,II,W303,EAST 1,,RAIPUR,SHIV,SHIVAYAA CARS PVT LTD,CHHATTISGARH
,,III,WN08,EAST 1,,BILASPUR,SHIV,SHIVAYAA CARS PVT LTD,CHHATTISGARH
,,III,WN08,EAST 1,,AMBIKAPUR,SHIV,SHIVAYAA CARS PVT LTD,CHHATTISGARH
,,nan,WN33,EAST 1,,AMBIKAPUR,SHIV,SHIVAYAA CARS PVT LTD,CHHATTISGARH
,,III,W303,EAST 1,,JAGDALPUR,SHIV,SHIVAYAA CARS PVT LTD,CHHATTISGARH
,,III,W303,EAST 1,,BHILAI,SHIV,SHIVAYAA CARS PVT LTD,CHHATTISGARH
,,nan,DE04,CENTRAL 1,,NEW DELHI,CRYS,CRYSTAL AUTOCARS PVT LTD.,DELHI
,,nan,DS09,CENTRAL 1,,NEW DELHI,LMPL,LEGACY MOTOR PVT. LTD,DELHI
,,I+,DS09,CENTRAL 1,,NEW DELHI,LMPL,LEGACY MOTOR PVT. LTD,DELHI
,,nan,DE03,CENTRAL 1,,NEW DELHI,MGCP,PRIVATE LIMITED,DELHI
,,nan,DS03,CENTRAL 1,,NEW DELHI,MGCP,PRIVATE LIMITED,DELHI
,,nan,DS07,CENTRAL 1,,NEW DELHI,MGCP,PRIVATE LIMITED,DELHI
,,I+,DW03,CENTRAL 1,,NEW DELHI,MGCP,PRIVATE LIMITED,DELHI
