Client,Material,Model_Line1,Model_Series,Description1,Description2,Emission_Standard,Passenger,Model_Line2,Description3,Description4,Qty,CreateDate,LastUpdateTime,WorkflowID,WorkflowRunID,RowActiveFlag,RowDeleteFlag
,<MATERIAL_CODE>,AR,100YR EDITION,Automatic - CVT,Petrol,RDE,05 Seater,AR,                              ,                              ,1,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,100YR EDITION,Automatic - CVT,Petrol,RDE,05 Seater,AR,                              ,                              ,0,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,100YR EDITION,Manual,Petrol,RDE,05 Seater,AR,                              ,                              ,0,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,100YR EDITION,Manual,Petrol,RDE,05 Seater,AR,                              ,                              ,1,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,BLACK STORM,Manual,Petrol,RDE,05 Seater,AR,                              ,                              ,1,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,BLACK STORM,Automatic - CVT,Petrol,RDE,05 Seater,AR,                              ,                              ,1,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,BLACKSTORM,Manual,Petrol,RDE,05 Seater,AR,                              ,                              ,0,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,BLACKSTORM,CVT,Petrol,RDE,05 Seater,AR,                              ,                              ,0,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,BLACKSTORM,Manual,Petrol,RDE,05 Seater,AR,                              ,                              ,0,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,BLACKSTORM,Automatic - CVT,Petrol,RDE,05 Seater,AR,                              ,                              ,0,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,Not Assigned,                              ,                              ,     ,               ,AR,                              ,                              ,1,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,SAVVY,Automatic - 6 AT,Petrol,BS6,05 Seater,AR,                              ,                              ,1,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,SAVVY,Automatic - CVT,Petrol,BS6,05 Seater,AR,                              ,Dual Tone Iconic Ivory,1,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,SAVVY,                              ,                              ,     ,               ,AR,                              ,                              ,1,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,SAVVY,Automatic - CVT,Petrol,BS6,05 Seater,AR,                              ,Dual Tone Sangria Red,1,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,SAVVY,Automatic - CVT,Petrol,RDE,05 Seater,AR,                              ,Dual Tone Iconic Ivory,1,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,SAVVY,Automatic - 6 AT,Petrol,RDE,05 Seater,AR,                              ,Dual Tone Sangria Red,1,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
,<MATERIAL_CODE>,AR,SAVVY,Automatic - CVT,Petrol,BS6,05 Seater,AR,                              ,Dual Tone Iconic Ivory,1,2026-03-23,2026-03-23 19:20:<PHONE_NUMBER> UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
