Branch,Zone,Service_Dealer_Type,Main_Outlet_code,Region_description,Name_1,City,Company_Code,Company_Name,Description
MG01,MG01,,MG01,MG01,DUMMY ORG UNIT,MG01,MG01,MG01,MG01
MG02,MG02,,MG02,MG02,C4C SUPPORT,MG02,MG02,MG02,MG02
S322,SOUTH,III,S322,SOUTH 2,MG LEGACY AUTO PORT BLAIR,SOUTH ANDAMAN,LEAP,LEGACY AUTOMOBILES PVT LT,ANDAMAN & NICOBAR ISLANDS
EX200075,EXPORT,,EX200075,EXPORT,EXPORT - SOUTH AFRICA,EXPORT,EXPORT,EXPORT - SOUTH AFRICA,SOUTH AFRICA
EX200080,EXPORT,,EX200080,EXPORT,EXPORT - BHUTAN,EXPORT,EXPORT,EXPORT - BHUTAN,BHUTAN
EN15,EAST,III,EN15,EAST 2,MG DIMAPUR,DIMAPUR,GMDS,GMDS MOTORS PVT LTD,NAGALAND
EN11,EAST,III,EN11,EAST 1,MG GANGTOK,GANGTOK,SAPL,SILIGURI AUTO WORKS PVT L,SIKKIM
S320,SOUTH,,S320,SOUTH 2,"MG NEON, VISAKHAPATNAM - SALES",VISAKHAPATNAM,NMPL,NEON MOTORS PRIVATE LIMIT,ANDHRA PRADESH
S321,SOUTH,,S321,SOUTH 2,"MG APPLE CARS, VISAKHAPATNAM",VISAKHAPATNAM,ACPL,APPLE CARS PRIVATE LIMITED,ANDHRA PRADESH
S316,SOUTH,III,S316,SOUTH 2,MG TIRUPATI,TIRUPATI,KAML,KESHVIN AUTOMOTORS PVT LT,ANDHRA PRADESH
SN32,SOUTH,III,SN32,SOUTH 2,MG NELLORE,NELLORE,KAML,KESHVIN AUTOMOTORS PVT LT,ANDHRA PRADESH
SN37,SOUTH,III,SN37,SOUTH 2,MG KURNOOL,KURNOOL,KAML,KESHVIN AUTOMOTORS PVT LT,ANDHRA PRADESH
SN38,SOUTH,III,SN38,SOUTH 2,MG ANANTAPUR,ANANTAPUR,KAML,KESHVIN AUTOMOTORS PVT LT,ANDHRA PRADESH
SN39,SOUTH,II,SN39,SOUTH 2,MG KADAPA,KADAPA,KAML,KESHVIN AUTOMOTORS PVT LT,ANDHRA PRADESH
S303,SOUTH,II,S303,SOUTH 2,MG VIJAYWADA,VIJAYAWADA,SRIJ,JAYALAKSHMI AUTO,ANDHRA PRADESH
SN13,SOUTH,II,SN13,SOUTH 2,MG RAJAHMUNDRY,RAJAHMUNDRY,SRIJ,JAYALAKSHMI AUTO,ANDHRA PRADESH
SN15,SOUTH,III,SN15,SOUTH 2,MG GUNTUR,GUNTUR,SRIJ,JAYALAKSHMI AUTO,ANDHRA PRADESH
SN16,SOUTH,III,SN32,SOUTH 2,MG NELLORE,NELLORE,SRIJ,JAYALAKSHMI AUTO,ANDHRA PRADESH
SN27,SOUTH,III,S303,SOUTH 2,MG TIRUPATI,TIRUPATI,SRIJ,JAYALAKSHMI AUTO,ANDHRA PRADESH
SW15,SOUTH,II,SW15,SOUTH 2,MG VIJAYWADA BODYSHOP SERVICE,VIJAYAWADA,SRIJ,JAYALAKSHMI AUTO,ANDHRA PRADESH
SU10,SOUTH,III,SU10,SOUTH 2,"MG JAYALAKSHMI AUTO, ONGOLE",ONGOLE,SRIJ,JAYALAKSHMI AUTO,ANDHRA PRADESH
SS01,SOUTH,,SS01,SOUTH 2,MG VIZAG,VIZAG,TRIS,TRISTAR AUTO AGENCIES,ANDHRA PRADESH
SW01,SOUTH,III,SW01,SOUTH 2,MG VIZAG SERVICE,VIZAG,TRIS,TRISTAR AUTO AGENCIES,ANDHRA PRADESH
E307,EAST,III,E307,EAST 2,MG NAHARLAGUN,NAHARLAGUN,NIGL,NIGLA MG LLP,ARUNACHAL PRADESH
EU04,EAST,III,E307,EAST 2,MG PASIGHAT,PASIGHAT,NIGL,NIGLA MG LLP,ARUNACHAL PRADESH
E301,EAST,II,E301,EAST 2,MG GUWAHATI,GUWAHATI,URBA,URBAN WORLD MOTOR PVT LTD,ASSAM
EN16,EAST,,EN16,EAST 2,MG SILCHAR,SILCHAR,GMDS,GMDS MOTORS PVT LTD,ASSAM
