Client,Material,Model_Line1,Model_Series,Description1,Description2,Emission_Standard,Passenger,Model_Line2,Description3,Description4,Qty,CreateDate,LastUpdateTime,WorkflowID,WorkflowRunID,RowActiveFlag,RowDeleteFlag
500,2298GFP,ASTOR,100YR EDITION,Automatic - CVT,Petrol,RDE,05 Seater,ASTOR,                              ,                              ,1,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2298GFA,ASTOR,100YR EDITION,Automatic - CVT,Petrol,RDE,05 Seater,ASTOR,                              ,                              ,0,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2297GFZ,ASTOR,100YR EDITION,Manual,Petrol,RDE,05 Seater,ASTOR,                              ,                              ,0,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2297GFO,ASTOR,100YR EDITION,Manual,Petrol,RDE,05 Seater,ASTOR,                              ,                              ,1,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2280GFO,ASTOR,BLACK STORM,Manual,Petrol,RDE,05 Seater,ASTOR,                              ,                              ,1,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2281GFP,ASTOR,BLACK STORM,Automatic - CVT,Petrol,RDE,05 Seater,ASTOR,                              ,                              ,1,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2299GFZ,ASTOR,BLACKSTORM,Manual,Petrol,RDE,05 Seater,ASTOR,                              ,                              ,0,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2300GFP,ASTOR,BLACKSTORM,CVT,Petrol,RDE,05 Seater,ASTOR,                              ,                              ,0,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2299GFO,ASTOR,BLACKSTORM,Manual,Petrol,RDE,05 Seater,ASTOR,                              ,                              ,0,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2300GFA,ASTOR,BLACKSTORM,Automatic - CVT,Petrol,RDE,05 Seater,ASTOR,                              ,                              ,0,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,ASTOR,ASTOR,Not Assigned,                              ,                              ,     ,               ,ASTOR,                              ,                              ,1,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2122GGQ,ASTOR,SAVVY,Automatic - 6 AT,Petrol,BS6,05 Seater,ASTOR,                              ,                              ,1,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2121GGL,ASTOR,SAVVY,Automatic - CVT,Petrol,BS6,05 Seater,ASTOR,                              ,Dual Tone Iconic Ivory,1,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,ASTOR2,ASTOR,SAVVY,                              ,                              ,     ,               ,ASTOR,                              ,                              ,1,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2117GFK,ASTOR,SAVVY,Automatic - CVT,Petrol,BS6,05 Seater,ASTOR,                              ,Dual Tone Sangria Red,1,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2221GFP,ASTOR,SAVVY,Automatic - CVT,Petrol,RDE,05 Seater,ASTOR,                              ,Dual Tone Iconic Ivory,1,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2220GGQ,ASTOR,SAVVY,Automatic - 6 AT,Petrol,RDE,05 Seater,ASTOR,                              ,Dual Tone Sangria Red,1,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2121GFP,ASTOR,SAVVY,Automatic - CVT,Petrol,BS6,05 Seater,ASTOR,                              ,Dual Tone Iconic Ivory,1,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2217GFP,ASTOR,SAVVY,Automatic - CVT,Petrol,RDE,05 Seater,ASTOR,                              ,Dual Tone Sangria Red,1,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2121GFK,ASTOR,SAVVY,Automatic - CVT,Petrol,BS6,05 Seater,ASTOR,                              ,Dual Tone Iconic Ivory,1,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
500,2117GFP,ASTOR,SAVVY,Automatic - CVT,Petrol,BS6,05 Seater,ASTOR,                              ,Dual Tone Sangria Red,1,2026-03-23,2026-03-23 19:20:09.742545 UTC,177d1022-af6f-483b-bed3-7972f5e86646,af64435d-c1fc-4e66-9ad8-9a03aa4a522b,Y,N
